CODERIVOLI;LIBELLEVOIE;TYPEVOIE;LIBELLESEUL;CODEQUARTIER;LIBELLEQUARTIER;NOMQUARTIER;COTE;DEBUT;FIN;CODEPOSTAL
1255;PASSAGE BRIAN;PASSAGE;BRIAN;05;Quartier 5;Nansouty Saint-Genès;Pair;0002;9998;33000
1257;RUE BRIAN;RUE;BRIAN;05;Quartier 5;Nansouty Saint-Genès;Impair;0001;9999;33000
1257;RUE BRIAN;RUE;BRIAN;05;Quartier 5;Nansouty Saint-Genès;Pair;0002;9998;33000
1262;QUAI DE BRIENNE;QUAI;DE BRIENNE;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
1262;QUAI DE BRIENNE;QUAI;DE BRIENNE;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
1267;ALLEE DE BRISTOL;ALLÉE;DE BRISTOL;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
1267;ALLEE DE BRISTOL;ALLÉE;DE BRISTOL;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
1270;RUE BRIZARD;RUE;BRIZARD;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
1270;RUE BRIZARD;RUE;BRIZARD;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
1272;IMPASSE BROWN DE COLSTOUN;IMPASSE;BROWN DE COLSTOUN;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
1272;IMPASSE BROWN DE COLSTOUN;IMPASSE;BROWN DE COLSTOUN;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
1280;RUE DE BRUGES;RUE;DE BRUGES;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Pair;0002;9998;33000
1280;RUE DE BRUGES;RUE;DE BRUGES;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Impair;0001;9999;33000
1285;RUE BRULATOUR;RUE;BRULATOUR;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
1285;RUE BRULATOUR;RUE;BRULATOUR;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
1290;IMPASSE BRULATOUR;IMPASSE;BRULATOUR;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
1290;IMPASSE BRULATOUR;IMPASSE;BRULATOUR;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
1291;CITE BRULATOUR;CITÉ;BRULATOUR;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
1291;CITE BRULATOUR;CITÉ;BRULATOUR;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
1295;RUE BRUN;RUE;BRUN;05;Quartier 5;Nansouty Saint-Genès;Impair;0001;9999;33800
1295;RUE BRUN;RUE;BRUN;05;Quartier 5;Nansouty Saint-Genès;Pair;0002;9998;33800
1300;RUE BUCHOU;RUE;BUCHOU;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
1300;RUE BUCHOU;RUE;BUCHOU;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
1305;RUE DE BUDOS;RUE;DE BUDOS;05;Quartier 5;Nansouty Saint-Genès;Impair;0001;9999;33000
1305;RUE DE BUDOS;RUE;DE BUDOS;05;Quartier 5;Nansouty Saint-Genès;Pair;0002;9998;33000
1310;RUE BUFFON;RUE;BUFFON;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
1310;RUE BUFFON;RUE;BUFFON;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
1315;RUE BUHAN;RUE;BUHAN;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
1315;RUE BUHAN;RUE;BUHAN;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
1320;PASSAGE BUHAN;PASSAGE;BUHAN;07;Quartier 7;Bastide;Pair;0002;9998;33100
1320;PASSAGE BUHAN;PASSAGE;BUHAN;07;Quartier 7;Bastide;Impair;0001;9999;33100
1325;IMPASSE BUSCAILLET;IMPASSE;BUSCAILLET;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
1325;IMPASSE BUSCAILLET;IMPASSE;BUSCAILLET;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
1328;RUE CATHERINE ET WILLIAM BOOTH;RUE;CATHERINE ET WILLIAM BOOTH;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;0002;9998;33000
1328;RUE CATHERINE ET WILLIAM BOOTH;RUE;CATHERINE ET WILLIAM BOOTH;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Impair;0001;9999;33000
1330;RUE CABANAC;RUE;CABANAC;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
1330;RUE CABANAC;RUE;CABANAC;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
1340;RUE CABIROL;RUE;CABIROL;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
1340;RUE CABIROL;RUE;CABIROL;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
1345;IMPASSE CABRIERE;IMPASSE;CABRIÈRE;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
1345;IMPASSE CABRIERE;IMPASSE;CABRIÈRE;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
1350;RUE DE CADAUJAC;RUE;DE CADAUJAC;05;Quartier 5;Nansouty Saint-Genès;Impair;0001;9999;33800
1350;RUE DE CADAUJAC;RUE;DE CADAUJAC;05;Quartier 5;Nansouty Saint-Genès;Pair;0002;9998;33800
1355;RUE CADROIN;RUE;CADROIN;05;Quartier 5;Nansouty Saint-Genès;Pair;0002;9998;33000
1355;RUE CADROIN;RUE;CADROIN;05;Quartier 5;Nansouty Saint-Genès;Impair;0001;9999;33000
1360;RUE DE LA CAGE VERTE;RUE;DE LA CAGE VERTE;08;Quartier 8;Caudéran;Impair;0001;9999;33200
1360;RUE DE LA CAGE VERTE;RUE;DE LA CAGE VERTE;08;Quartier 8;Caudéran;Pair;0002;9998;33200
1365;IMPASSE CAILLABET;IMPASSE;CAILLABET;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Impair;0001;9999;33000
1365;IMPASSE CAILLABET;IMPASSE;CAILLABET;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;0002;9998;33000
1370;RUE CAILLOU;RUE;CAILLOU;08;Quartier 8;Caudéran;Pair;0002;9998;33200
1370;RUE CAILLOU;RUE;CAILLOU;08;Quartier 8;Caudéran;Impair;0001;9999;33200
1372;IMPASSE CAILLOU;IMPASSE;CAILLOU;08;Quartier 8;Caudéran;Impair;0001;9999;33200
1372;IMPASSE CAILLOU;IMPASSE;CAILLOU;08;Quartier 8;Caudéran;Pair;0002;9998;33200
1375;PASSAGE CAIRON;PASSAGE;CAIRON;05;Quartier 5;Nansouty Saint-Genès;Impair;0001;9999;33800
1375;PASSAGE CAIRON;PASSAGE;CAIRON;05;Quartier 5;Nansouty Saint-Genès;Pair;0002;9998;33800
1380;RUE DE CALEMBERT;RUE;DE CALEMBERT;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
1380;RUE DE CALEMBERT;RUE;DE CALEMBERT;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
1385;RUE CALENDRIN;RUE;CALENDRIN;08;Quartier 8;Caudéran;Pair;0002;9998;33200
1385;RUE CALENDRIN;RUE;CALENDRIN;08;Quartier 8;Caudéran;Impair;0001;9999;33200
1390;PLACE CALIXTE CAMELLE;PLACE;CALIXTE CAMELLE;07;Quartier 7;Bastide;Pair;0002;9998;33100
1390;PLACE CALIXTE CAMELLE;PLACE;CALIXTE CAMELLE;07;Quartier 7;Bastide;Impair;0001;9999;33100
1395;RUE CALVE;RUE;CALVÉ;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
1395;RUE CALVE;RUE;CALVÉ;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
1400;RUE CALVIMONT;RUE;CALVIMONT;07;Quartier 7;Bastide;Pair;0002;9998;33100
1400;RUE CALVIMONT;RUE;CALVIMONT;07;Quartier 7;Bastide;Impair;0001;9999;33100
1405;RUE CAMBON;RUE;CAMBON;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
1405;RUE CAMBON;RUE;CAMBON;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
1410;RUE DES CAMELIAS;RUE;DES CAMÉLIAS;08;Quartier 8;Caudéran;Impair;0001;9999;33200
1410;RUE DES CAMELIAS;RUE;DES CAMÉLIAS;08;Quartier 8;Caudéran;Pair;0002;9998;33200
1415;RUE CAMENA D'ALMEIDA;RUE;CAMÉNA D'ALMEIDA;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Impair;0001;9999;33000
1415;RUE CAMENA D'ALMEIDA;RUE;CAMÉNA D'ALMEIDA;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;0002;9998;33000
1425;RUE CAMILLE CLAUDEL;RUE;CAMILLE CLAUDEL;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Pair;0002;9998;33300
1425;RUE CAMILLE CLAUDEL;RUE;CAMILLE CLAUDEL;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Impair;0001;9999;33300
1430;RUE CAMILLE FLAMMARION;RUE;CAMILLE FLAMMARION;07;Quartier 7;Bastide;Pair;0002;9998;33100
1430;RUE CAMILLE FLAMMARION;RUE;CAMILLE FLAMMARION;07;Quartier 7;Bastide;Impair;0001;9999;33100
1435;RUE CAMILLE GODARD;RUE;CAMILLE GODARD;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Pair;0002;9998;33000
1435;RUE CAMILLE GODARD;RUE;CAMILLE GODARD;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Impair;0001;9999;33000
1440;PLACE CAMILLE JULLIAN;PLACE;CAMILLE JULLIAN;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
1440;PLACE CAMILLE JULLIAN;PLACE;CAMILLE JULLIAN;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
1445;PLACE CAMILLE PELLETAN;PLACE;CAMILLE PELLETAN;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33000
1445;PLACE CAMILLE PELLETAN;PLACE;CAMILLE PELLETAN;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33000
1448;RUE CAMILLE RENOUIL;RUE;CAMILLE RENOUIL;08;Quartier 8;Caudéran;Impair;0001;9999;33200
1448;RUE CAMILLE RENOUIL;RUE;CAMILLE RENOUIL;08;Quartier 8;Caudéran;Pair;0002;9998;33200
1449;RUE CAMILLE DE ROQUEFEUIL;RUE;CAMILLE DE ROQUEFEUIL;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Impair;0001;9999;33000
1449;RUE CAMILLE DE ROQUEFEUIL;RUE;CAMILLE DE ROQUEFEUIL;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;0002;9998;33000
1450;RUE CAMILLE SAINT SAENS;RUE;CAMILLE SAINT SAËNS;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Impair;0001;9999;33000
1450;RUE CAMILLE SAINT SAENS;RUE;CAMILLE SAINT SAËNS;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;0002;9998;33000
1451;RUE CAMILLE SAINT SAENS;RUE;CAMILLE SAINT SAËNS;08;Quartier 8;Caudéran;Impair;0001;9999;33200
1451;RUE CAMILLE SAINT SAENS;RUE;CAMILLE SAINT SAËNS;08;Quartier 8;Caudéran;Pair;0002;9998;33200
1455;RUE CAMILLE SAUVAGEAU;RUE;CAMILLE SAUVAGEAU;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
1455;RUE CAMILLE SAUVAGEAU;RUE;CAMILLE SAUVAGEAU;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
1460;PLACE CAMPEYRAUT;PLACE;CAMPEYRAUT;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;0002;9998;33000
1460;PLACE CAMPEYRAUT;PLACE;CAMPEYRAUT;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Impair;0001;9999;33000
1462;RUE DE CAMPEYRAUT;RUE;DE CAMPEYRAUT;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Impair;0001;9999;33000
1462;RUE DE CAMPEYRAUT;RUE;DE CAMPEYRAUT;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;0002;9998;33000
1465;RUE DU CANCERA;RUE;DU CANCERA;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
1465;RUE DU CANCERA;RUE;DU CANCERA;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
1470;RUE DE CANDALE;RUE;DE CANDALE;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33000
1470;RUE DE CANDALE;RUE;DE CANDALE;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33000
