GID,GENREV,LIBELLEV,DOMANIAL,CODERIV,MOTD,IDENT,NOMNG,NUMEROFR,NUMEROEU,RHFV_COMMU,CDATE,MDATE
129,CHEM,DES PLACEOTS,6,0439G,PLAC,0030147,Chemin des Placeots ,,,27,19950125160100,20070119103400
130,ALL,DES POETES,6,0443L,POET,0030150,Allée des Poetes ,,,27,19950125160100,20070119103400
131,RUE,DU PONTET,4,0450U,PONT,0030151,Rue du Pontet ,,,27,19950125160100,20070119103400
132,RUE,DU PRESIDENT COTY,4,0460E,COTY,0030152,Rue du Président Coty ,,,27,19950125160100,20070423170700
133,ALL,DU PRINTEMPS,4,0467M,PRIN,0030154,Allée du Printemps ,,,27,19950125160100,20070119103400
134,RUE,DE QUINSUS,4,0469P,QUIN,0030155,Rue de Quinsus ,,,27,19950125160100,20070423170700
135,RUE,DE RABANEAU,4,0470R,RABA,0030156,Rue de Rabaneau ,,,27,19950125160100,20070423170700
136,PCE,DE LA REPUBLIQUE,7,0480B,REPU,0030157,Place de la République ,,,27,19950125160100,20070119103400
137,RUE,DE RIBEYROTTES,4,0485G,RIBE,0030158,Rue de Ribeyrottes ,,,27,19950125160100,20070119103400
138,CHEM,DE LA RICODONNE,4,0489L,RICO,0030159,Chemin de la Ricodonne ,,,27,19950125160100,20120213141652
139,ALL,DE LA ROSERAIE,4,0491N,ROSE,0030160,Allée de la Roseraie ,,,27,19950125160100,20070119103400
140,CHEM,DU ROSSIGNOL,6,0494S,ROSS,0030161,Chemin du Rossignol ,,,27,19950125160100,20070119103400
141,CHEM,DE ROUILLE-DINA,4,0492P,DINA,0030162,Chemin de Rouille-Dina ,,,27,19950125160100,20070119103400
142,AVE,DU ROY,4,0493R,ROY,0030163,Avenue du Roy ,,,27,19950125160100,20070423170700
143,RUE,DE SABAREGES,4,0496U,SABA,0030164,Rue de Sabarèges ,,,27,19950125160100,20070423170700
144,RUE,DES SAGITTAIRES,4,0498W,SAGI,0030165,Rue des Sagittaires ,,,27,19950125160100,20070119103400
145,RUE,SAINT- SICAIRE,4,0518T,SICA,0030166,Rue Saint-Sicaire ,,,27,19950125160100,20130812100728
146,CHEM,DE SAINT-DENIS,6,0509H,DENI,0030167,Chemin de Saint-Denis ,,,27,19950125160100,20070119103400
147,RUE,DE SAINT-DENIS,4,0510J,DENI,0030168,Rue de Saint-Denis ,,,27,19950125160100,20070423170700
148,RUE,DE SAINT-LAURENT,6,0513M,LAUR,0030169,Rue de Saint-Laurent ,,,27,19950125160100,20070119103400
149,AVE,DE SAINT-LOUBES,V,0515P,LOUB,0030170,Avenue de Saint-Loubes ,,,27,19950125160100,20070119103400
150,CHEM,DE SAUVIN,6,0521W,SAUV,0030171,Chemin de Sauvin ,,,27,19950125160100,20070119103400
151,RUE,DE SAUVIN,4,0520V,SAUV,0030172,Rue de Sauvin ,,,27,19950125160100,20070423170700
153,RUE,DU TARREY,4,,TARR,0030174,Rue du Tarrey ,,,27,19950125160100,20070119103400
154,CHEM,DE TIRELAON,6,0545X,TIRE,0030175,Chemin de Tirelaon ,,,27,19950125160100,20070119103400
155,RUE,DE TRETINS,4,0548A,TRET,0030176,Rue de Tretins ,,,27,19950125160100,20120213141652
157,ALL,DES VERSEAUX,4,0557K,VERS,0030178,Allée des Verseaux ,,,27,19950125160100,20070119103400
158,PCE,DE LA VICTOIRE,7,0560N,VICT,0030179,Place de la Victoire ,,,27,19950125160100,20070119103400
159,RUE,VICTOR HUGO,4,0565U,HUGO,0030180,Rue Victor Hugo ,,,27,19950125160100,20070423170700
161,RTE,DEPARTEMENTALE 113,3,,113,0030182,Route Départementale 113 ,,,27,19950125160100,20070130141000
162,PCE,DU 19 MARS 1962,4,0182C,MARS,0030183,Place du 19 Mars 1962 ,,,27,19950125160100,20070119103400
165,LOT,CHATEAU DU GUA,4,,GUA,0030187,Lotissement Château du Gua ,,,27,19950125160100,20070423170700
167,AVE,LEON BLUM,4,,BLUM,0030189,Avenue Léon Blum ,,,27,19950125160100,20070423170700
168,AVE,PIERRE MENDES FRANCE,4,0433A,MEND,0030190,Avenue Pierre Mendès France ,,,27,19950125160100,20130625110144
170,RUE,DES ALBATROS,5,0006L,ALBA,0030197,Rue des Albatros ,,,27,19950125160100,20070119103400
171,RUE,DES GOELANDS,5,0237M,GOEL,0030198,Rue des Goelands ,,,27,19950125160100,20070119103400
172,ALL,DES HERONS,5,0269X,HERO,0030199,Allée des Herons ,,,27,19950125160100,20070119103400
174,CHEM,CLOS ANGE,5,5003*,ANGE,0030201,Chemin Clos Ange ,,,27,19950125160100,20070119103400
86,LOT,LE HAMEAU DE LA CLAIRIERE,4,A035M,CLAI,0030094,Lotissement le Hameau de la Clairière ,,,27,19950125160100,20070119103400
88,ALL,DES ORMEAUX,4,5027*,ORME,0030097,Allée des Ormeaux ,,,27,19950125160100,20080930100704
89,AVE,DE LA LIBERATION,V,0330N,LIBE,0030099,Avenue de la Libération ,,,27,19950125160100,20070423170700
90,AVE,DE LA LIBERTE,4,0335U,LIBE,0030100,Avenue de la Liberté ,,,27,19950125160100,20070423170700
92,CHEM,DE MARANSINS,6,0354P,MARA,0030109,Chemin de Maransins ,,,27,19950125160100,20070119103400
93,RUE,MARCEAU,4,0360W,MARC,0030110,Rue Marceau ,,,27,19950125160100,20070119103400
94,RUE,MARCEL COIFFARD,4,0359V,COIF,0030111,Rue Marcel Coiffard ,,,27,19950125160100,20091110110408
