GID,IDENT,NUMERO,NUMERO_X,NUMERO_Y,NUMERO_O,POP_MUN,POP_CAP,POP_TOT,POP_SDC,NB_LOG_P,NB_LOG_S,NB_LOG_O,NB_LOG_V,NB_LOG_T,CDATE,MDATE
4052,249AK03,AK03,1423171.7,4192246,0,45,0,45,45,8,0,0,0,8,19951205151000,20060905225800
4053,249AK10,AK10,1423201.03,4192056.95,0,134,0,134,134,38,0,0,0,38,19951205151100,20060905225800
4054,249AK09,AK09,1423434.84,4192046.44,0,85,0,85,85,30,0,0,0,30,19951205161400,20060905225800
4055,249AO02,AO02,1422642.31,4191324.92,0,48,0,48,48,20,0,0,1,21,19951205151900,20060905225800
4056,249AP04,AP04,1422313.12,4191537.13,0,87,0,87,87,33,1,0,1,35,19951205152200,20060905225800
4057,249AP03,AP03,1422282.86,4191459.9,0,143,0,143,143,53,1,0,2,56,19951205152200,20060905225800
4058,249AP05,AP05,1422246.84,4191368.64,0,100,0,100,100,32,2,0,1,35,19951205152200,20060905225800
3204,063NZ01,NZ01,1414467.41,4190073.29,0,273,0,273,273,113,4,0,13,130,19951130143100,20060905225700
4198,056BY02,BY02,1413412.37,4196801.21,0,34,0,34,34,13,0,0,2,15,19951208160600,20060905225800
4199,056BY03,BY03,1413565.4,4196844.62,0,40,0,40,40,17,0,0,0,17,19951208160600,20060905225800
4200,056BY05,BY05,1413679.16,4196759.39,0,56,0,56,56,24,0,0,1,25,19951208160700,20060905225800
4201,056BY06,BY06,1413640.4,4196541.28,0,228,0,228,228,103,0,0,0,103,19951208160700,20060905225800
4202,056BY01,BY01,1413402.24,4196545.99,0,51,0,51,51,19,0,0,0,19,19951208160700,20060905225800
4203,056BM08,BM08,1414197.88,4196251.55,0,115,0,115,115,36,0,0,0,36,19951208161400,20060905225800
4204,056BM10,BM10,1414061.58,4196315.91,0,178,0,178,178,54,0,0,0,54,19951208161400,20060905225800
4205,056BM07,BM07,1413961.53,4196461.53,0,20,0,20,20,10,0,0,0,10,19951208161400,20060905225800
4206,056BM09,BM09,1414073.31,4196152.63,0,27,0,27,27,11,0,0,2,13,19951208161400,20060905225800
3487,063TL16,TL16,1419463.95,4193371.53,0,66,0,66,66,23,0,0,0,23,19951201110100,20060905225700
3488,063TM02,TM02,1419926.5,4193243.48,0,22,0,22,22,8,0,0,4,12,19951201110300,20060905225700
3489,063TN02,TN02,1420030.83,4193762.03,0,5,0,5,5,2,0,0,0,2,19951201110600,20060905225700
3490,063TO02,TO02,1420028.09,4194121.57,0,2,0,2,2,1,0,0,0,1,19951201110600,20060905225700
3491,063GP01,GP01,1420358.83,4192633.35,0,463,0,463,463,162,0,0,3,165,19951201111200,20060905225700
4059,249AR03,AR03,1422105.59,4191166.99,0,38,0,38,38,16,0,0,1,17,19951205152300,20060905225800
4060,249AN12,AN12,1422371.34,4191590.84,0,275,0,275,275,125,3,1,3,132,19951205152900,20060905225800
4061,249AW03,AW03,1422132.3,4191722.58,0,19,0,19,19,11,0,0,0,11,19951205152900,20060905225800
