,type,street_simple,code_riv,street_full,code_commune,type_full,code_riv_commune,COM_code_commune,COM_code_ilot,COM_nom_commune_maj,COM_abscisse,COM_ordonne,COM_orientation,COM_nom_commune,COM_date_creation,COM_date_modifiction,ILOT_code_ilot_normalise,ILOT_pop_municipale,ILOT_pop_compté_a_part,ILOT_pop_totale,ILOT_pop_sans_double_compte,ILOT_nbr_residence_prin,ILOT_nbr_residence_secon,ILOT_NB_LOG_O,ILOT_nbr_logement_vancant,ILOT_nbr_logement_total,QUAR_code_rivoli,QUAR_nom_quartier,QUAR_nom_voie,QUAR_type,QUAR_code_rivoli_commune,nom_street_1,nom_street_2,prenoms_join_1,sexe_join_1,nombre_prenoms_sexe_join_1,nombre_prenoms_join_1,proportion_join_1,prenoms_join_2,sexe_join_2,nombre_prenoms_sexe_join_2,nombre_prenoms_join_2,proportion_join_2,title_name_1,title_genre_1,title_name_2,title_genre_2,title_coef,street_genre,perso_nom_1,perso_genre_1,perso_nom_2,perso_genre_2
31,pce,DES FOUGERES,0343,Place des Fougères ,4,Place,03434pl,4,519,LE TAILLANMEDOC,1407898.05,4197000.86,0,Le Taillan-Médoc,19920310181800,20080925154544,519.0,7884.0,0.0,7884.0,7884.0,2738.0,14.0,11.0,63.0,2826.0,,,,,,fougeres,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
32,all,DES FOUGERES,0302,Allée des Fougères ,1,Allée,03021al,1,376,SAINT AUBIN DE MEDOC,1401001.09,4198803.25,0,Saint-Aubin-de-Médoc,19920618090900,20080925154500,376.0,4990.0,0.0,4990.0,4990.0,1669.0,7.0,2.0,31.0,1709.0,,,,,,fougeres,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
33,all,DES FOUGERES,0484,Allée des Fougères ,17,Allée,048417al,17,449,SAINT MEDARD EN JALLES,1398831.98,4193542.49,0,Saint-Médard-en-Jalles,19920310181800,20091119174748,449.0,25566.0,79.0,25645.0,25566.0,9366.0,47.0,33.0,211.0,9657.0,,,,,,fougeres,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
34,rue,DES FOUGERES,0411,Rue des Fougères ,13,Rue,041113ru,13,550,VILLENAVE D'ORNON,1416524.53,4180650.11,0,Villenave-d'Ornon,19920310181800,20140805093340,550.0,27496.0,134.0,27630.0,27500.0,10627.0,64.0,70.0,474.0,11235.0,,,,,,fougeres,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
35,ave,DES FOUGERES,1290,Avenue des Fougères ,15,Avenue,129015av,15,318,PESSAC,1408595.98,4183495.63,0,Pessac,19920310181800,20080925154448,318.0,56121.0,230.0,56351.0,56131.0,22025.0,181.0,178.0,935.0,23319.0,,,,,,fougeres,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
36,rue,DES FOUGERES,0956,Rue des Fougères ,16,Rue,095616ru,16,281,MERIGNAC,1407488.34,4187533.36,0,Mérignac,19920310181800,20130507130812,281.0,61843.0,948.0,62791.0,61988.0,27600.0,163.0,278.0,1553.0,29594.0,,,,,,fougeres,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
37,all,DES FOUGERES,2730045,Allée des Fougères,29,Allée,273004529al,29,273,MARTIGNASSUR JALLE,1398682.13,4190163.48,0,Martignas-sur-Jalle,20130306151112,20130507130820,,,,,,,,,,,,,,,,fougeres,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
38,ave,GAY-LUSSAC,0118,Avenue Gay-Lussac ,28,Avenue,011828av,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,,gay-lussac,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,gay-lussac,M,,Inconnu
39,rue,GAY-LUSSAC,1146,Rue Gay-Lussac ,19,Rue,114619ru,19,119,CENON,1420563.36,4190043.75,0,Cenon,19920310181800,20080925154316,119.0,21282.0,131.0,21413.0,21282.0,8721.0,24.0,59.0,388.0,9192.0,,,,,,gay-lussac,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,gay-lussac,M,,Inconnu
40,ave,GAY-LUSSAC,0552,Avenue Gay-Lussac ,17,Avenue,055217av,17,449,SAINT MEDARD EN JALLES,1398831.98,4193542.49,0,Saint-Médard-en-Jalles,19920310181800,20091119174748,449.0,25566.0,79.0,25645.0,25566.0,9366.0,47.0,33.0,211.0,9657.0,,,,,,gay-lussac,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,gay-lussac,M,,Inconnu
