index,type,street_simple,code_riv,street_full,code_commune,type_full,code_riv_commune,COM_code_commune,COM_code_ilot,COM_nom_commune_maj,COM_abscisse,COM_ordonne,COM_orientation,COM_nom_commune,COM_date_creation,COM_date_modifiction,ILOT_code_ilot_normalise,ILOT_pop_municipale,ILOT_pop_compté_a_part,ILOT_pop_totale,ILOT_pop_sans_double_compte,ILOT_nbr_residence_prin,ILOT_nbr_residence_secon,ILOT_NB_LOG_O,ILOT_nbr_logement_vancant,ILOT_nbr_logement_total,QUAR_code_rivoli,QUAR_nom_quartier,QUAR_nom_voie,QUAR_type,QUAR_code_rivoli_commune
6667,all,BORDELAISE CAUD,1070,Allée Bordelaise  ,18,Allée,107018al,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1070,Caudéran,ALLEE BORDELAISE,allee,107018al
6668,rue,BORIE,1080,Rue Borie ,18,Rue,108018ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1080,Chartrons Grand-Parc Jardin Public,RUE BORIE,rue,108018ru
6669,rue,DU BOSQUET CAUD,1085,Rue du Bosquet  ,18,Rue,108518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1085,Caudéran,RUE DU BOSQUET,rue,108518ru
6670,rue,BOUGAINVILLE,1107,Rue Bougainville ,18,Rue,110718ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1107,Bordeaux maritime,RUE BOUGAINVILLE,rue,110718ru
6671,imp,BOUILLON,1115,Impasse Bouillon ,18,Impasse,111518im,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1115,Bordeaux maritime,IMPASSE BOUILLON,impasse,111518im
6672,rue,BOULANGER,1125,Rue Boulanger ,18,Rue,112518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1125,Bordeaux maritime,RUE BOULANGER,rue,112518ru
6673,all,DE BOUTAUT,1165,Allée de Boutaut ,18,Allée,116518al,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1165,Bordeaux maritime,ALLEE DE BOUTAUT,allee,116518al
6674,rue,BRACHET CAUD,1200,Rue Brachet  ,18,Rue,120018ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1200,Caudéran,RUE BRACHET,rue,120018ru
6675,rue,BRADLEY,1205,Rue Bradley ,18,Rue,120518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1205,Bordeaux maritime,RUE BRADLEY,rue,120518ru
6676,cite,BRANNA CAUD,1220,Cité Branna  ,18,Cité,122018ci,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1220,Caudéran,CITE BRANNA,cite,122018ci
6677,rue,BREAU CAUD,1235,Rue Breau  ,18,Rue,123518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1235,Caudéran,RUE BREAU,rue,123518ru
6678,all,DE BRISTOL,1267,Allée de Bristol ,18,Allée,126718al,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1267,Centre-ville,ALLEE DE BRISTOL,allee,126718al
6679,rue,BUFFON,1310,Rue Buffon ,18,Rue,131018ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1310,Centre-ville,RUE BUFFON,rue,131018ru
6680,imp,BUSCAILLET,1325,Impasse Buscaillet ,18,Impasse,132518im,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1325,Bordeaux maritime,IMPASSE BUSCAILLET,impasse,132518im
6681,imp,CABRIERE,1345,Impasse Cabrière ,18,Impasse,134518im,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1345,Bordeaux maritime,IMPASSE CABRIERE,impasse,134518im
6682,imp,CAILLOU CAUD,1372,Impasse Caillou  ,18,Impasse,137218im,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1372,Caudéran,IMPASSE CAILLOU,impasse,137218im
6683,rue,CAILLOU CAUD,1370,Rue Caillou  ,18,Rue,137018ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1370,Caudéran,RUE CAILLOU,rue,137018ru
6684,rue,DE CALEMBERT,1380,Rue de Calembert ,18,Rue,138018ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1380,Centre-ville,RUE DE CALEMBERT,rue,138018ru
6685,rue,CALENDRIN CAUD,1385,Rue Calendrin  ,18,Rue,138518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1385,Caudéran,RUE CALENDRIN,rue,138518ru
